Year,Original,Series or Movie,Films,Rating,Genre
2020.0,0.0,Series,45,6.971111111111111,FANTASY
2020.0,1.0,Movie,8,5.9625,FANTASY
2021.0,0.0,Movie,5,5.88,FANTASY
2021.0,0.0,Series,8,7.2625,FANTASY
2010.0,0.0,Series,2,8.15,GAME-SHOW
2011.0,0.0,Series,2,7.75,GAME-SHOW
2012.0,0.0,Series,2,7.6,GAME-SHOW
2014.0,0.0,Series,2,7.75,GAME-SHOW
2015.0,0.0,Series,1,8.4,GAME-SHOW
2016.0,0.0,Series,1,7.2,GAME-SHOW
2017.0,0.0,Series,9,7.322222222222223,GAME-SHOW
2017.0,1.0,Series,1,7.3,GAME-SHOW
2018.0,0.0,Series,1,6.6,GAME-SHOW
2018.0,1.0,Series,1,4.9,GAME-SHOW
2019.0,0.0,Series,3,6.166666666666667,GAME-SHOW
2019.0,1.0,Series,2,5.1,GAME-SHOW
2020.0,0.0,Series,8,5.6375,GAME-SHOW
2010.0,0.0,Movie,13,7.115384615384615,HISTORY
2010.0,0.0,Series,5,7.859999999999999,HISTORY
2011.0,0.0,Movie,14,6.7,HISTORY
2011.0,0.0,Series,3,7.800000000000001,HISTORY
2012.0,0.0,Movie,13,6.884615384615385,HISTORY
2012.0,0.0,Series,4,8.1,HISTORY
2013.0,0.0,Movie,17,7.064705882352941,HISTORY
2013.0,0.0,Series,2,8.5,HISTORY
2014.0,0.0,Movie,18,6.677777777777778,HISTORY
2014.0,0.0,Series,6,7.183333333333334,HISTORY
2014.0,1.0,Movie,1,7.0,HISTORY
2014.0,1.0,Series,1,8.0,HISTORY
2015.0,0.0,Movie,31,6.948387096774193,HISTORY
2015.0,0.0,Series,10,7.62,HISTORY
2016.0,0.0,Movie,28,6.582142857142857,HISTORY
2016.0,0.0,Series,11,7.863636363636363,HISTORY
2016.0,1.0,Movie,4,7.525,HISTORY
2016.0,1.0,Series,1,8.7,HISTORY
2017.0,0.0,Movie,42,6.85,HISTORY
2017.0,0.0,Series,7,7.185714285714285,HISTORY
